"Setting","Method","Size","Statistic","Quantity","Bias.bias_mean","Bias.bias_median","Bias.sd","Bias.rmse"
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Var","X3",0.0749721549796197,0.0725184673678854,0.0372571218165254,0.0837026938759287
"CLEAR (double)","CLEAR","double","Var","X3",0.0425212524927765,0.0418922829182753,0.0165278367816181,0.0456144709873621
"synthpop (double)","synthpop","double","Var","X3",-0.0184424482622773,-0.0170681554869674,0.136000802101047,0.137110720345605
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Var","X3",0.0426656955421252,0.042376052543772,0.0215700535144525,0.0477985172394755
"CLEAR (half)","CLEAR","half","Lasso","X3",-0.0201893999065746,-0.0204611327021451,0.00555060427489469,0.0209370355587519
"synthpop (half)","synthpop","half","Lasso","X3",-0.00293826699192292,-0.00226120423256904,0.0268523576980039,0.0269859301975953
"CLEAR_synthpop (half)","CLEAR_synthpop","half","Lasso","X3",-0.0209402301190956,-0.0209080239897286,0.00601301280035881,0.021784793956613
"CLEAR (equal)","CLEAR","equal","Lasso","X3",-0.0114895055698961,-0.0114596527675175,0.00262993824848788,0.0117860714524031
"synthpop (equal)","synthpop","equal","Lasso","X3",0.00777625721404035,0.00813426324554622,0.0174316928726326,0.0190716114901677
"CLEAR_synthpop (equal)","CLEAR_synthpop","equal","Lasso","X3",-0.0125984303900898,-0.0126453973905349,0.00341382196016708,0.0130518703758851
"CLEAR (double)","CLEAR","double","Lasso","X3",-0.00669995769638434,-0.00687676349584437,0.00142944785611891,0.00685045017968571
"synthpop (double)","synthpop","double","Lasso","X3",0.00186927280123197,0.00304570939901649,0.0137267850067335,0.0138398684304898
"CLEAR_synthpop (double)","CLEAR_synthpop","double","Lasso","X3",-0.00705804222301032,-0.00700820133871666,0.00186123229638965,0.00729885041027682
"CLEAR (half)","CLEAR","half","Quantile","X3_q25",0.00204008942880118,0.0026399392438381,0.0599315945560931,0.0599063802850862
"synthpop (half)","synthpop","half","Quantile","X3_q25",0.00563425854544264,0.00683628588734253,0.0954062901556239,0.0954772242485792
